timestamp,load_MW,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),wind_speed_10m (km/h),cloud_cover (%),rain (mm),precipitation (mm),is_day (),shortwave_radiation (W/m²)
2023-04-01 00:00:00,2247.59,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:05:00,2242.49,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:10:00,2215.63,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:15:00,2201.72,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:20:00,2198.52,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:25:00,2186.5,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:30:00,2171.53,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:35:00,2141.02,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:40:00,2154.79,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:45:00,2044.05,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:50:00,2129.38,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 00:55:00,2120.79,16.6,97,17.6,7.6,20,0.0,0.0,0,0.0
2023-04-01 01:00:00,2113.46,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:05:00,2084.25,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:10:00,2079.79,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:15:00,2074.38,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:20:00,2073.69,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:25:00,2063.57,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:30:00,2054.38,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:35:00,2050.02,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:40:00,2035.34,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:45:00,2040.39,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:50:00,2023.06,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 01:55:00,2027.11,16.0,98,17.0,5.9,14,0.0,0.0,0,0.0
2023-04-01 02:00:00,2018.25,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:05:00,2007.59,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:10:00,1999.59,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:15:00,2007.65,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:20:00,2011.13,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:25:00,2002.68,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:30:00,1987.7,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:35:00,1986.25,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:40:00,1984.87,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:45:00,1984.99,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:50:00,1972.18,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 02:55:00,1975.04,15.5,99,16.4,6.4,11,0.0,0.0,0,0.0
2023-04-01 03:00:00,1969.35,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:05:00,1965.08,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:10:00,1963.7,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:15:00,1972.65,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:20:00,1960.12,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:25:00,1963.17,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:30:00,1968.35,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:35:00,1971.45,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:40:00,1962.2,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:45:00,1971.64,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:50:00,1966.83,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 03:55:00,1977.49,15.2,99,15.9,5.9,4,0.0,0.0,0,0.0
2023-04-01 04:00:00,1989.91,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
2023-04-01 04:05:00,1984.06,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
2023-04-01 04:10:00,2010.41,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
2023-04-01 04:15:00,2026.2,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
2023-04-01 04:20:00,2022.5,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
2023-04-01 04:25:00,2049.56,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
2023-04-01 04:30:00,2039.6,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
2023-04-01 04:35:00,2052.06,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
2023-04-01 04:40:00,2065.51,15.1,98,15.8,5.9,3,0.0,0.0,0,0.0
